species,order,LogBrain,LogBody,BrainResidual,BehaviorCategories,MigratoryDistance,SnowWeeks,EVI.BreedingSite(Winter),EVI.BreedingSite(Summer),EVI.NonBreedingSite(Winter),CV(EVI)Intra-year,CV(EVI)Among-years,PPC1,PPC2,FruitConsumer,InsectConsumer,ForestDweller,DietBreadth,Incubation,Fledging,DevelopmentalMode,SocialMatingSystem,ColonialBreeding,SocialForaging
Cinclidium_leucurum,PASSERIFORMES,-0.151,3.252,0.216,Resident.MidLat,0,0.372,1.506,1.615,1.506,0.03,0.012,3.039,-0.765,1,1,1,0.073,NA,NA,altricial,Monogamous,Solitary,NA
Cinclodes_fuscus,PASSERIFORMES,-0.128,3.207,0.263,Migrant.Short,1117.941,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.173,NA,NA,altricial,Monogamous,Solitary,Aggregation
Cinclodes_patagonicus,PASSERIFORMES,0.214,3.974,0.203,Resident.HighLat,0,3.406,1.33,1.391,1.33,0.039,0.018,10.938,-1.467,0,1,0,0.173,NA,NA,altricial,Monogamous,Solitary,Aggregation
Cincloramphus_cruralis,PASSERIFORMES,0.186,3.761,0.286,Migrant.Short,892.926,NA,1.367,1.365,1.315,0.01,0.009,NA,NA,0,1,0,0.173,NA,NA,altricial,Polygamous,Solitary,Solitary
Cinclosoma_punctatum,PASSERIFORMES,0.726,4.614,0.385,Resident.MidLat,0,0.036,1.541,1.511,1.541,0.014,0.015,0.892,3.014,0,1,1,0.15,NA,NA,altricial,NA,NA,NA
Circus_aeruginosus,ACCIPITRIFORMES,1.668,6.343,0.452,Migrant.Short,4802.794,NA,1.234,1.341,1.429,0.051,0.012,NA,NA,0,1,0,0.001,33.25,37.5,semialtricial,Facultative,Facultative,Solitary
Circus_cyaneus,ACCIPITRIFORMES,1.519,5.769,0.585,Migrant.Short,2974.783,NA,1.098,1.274,1.397,0.106,0.017,NA,NA,0,0,0,0.001,30.5,35.75,semialtricial,Polygamous,Facultative,Solitary
Cisticola_exilis,PASSERIFORMES,-0.942,2.303,-0.075,Resident.LowLat,0,0.032,1.663,1.65,1.663,0.017,0.012,-0.109,0.592,0,1,0,0,NA,NA,altricial,Facultative,Solitary,Pair
Cisticola_fulvicapilla,PASSERIFORMES,-0.678,2.327,0.175,Resident.LowLat,0,0,1.414,1.544,1.414,0.024,0.009,-0.329,-1.392,0,1,0,0.06,13.5,14,altricial,Monogamous,Solitary,Bonded
Cladorhynchus_leucocephalus,CHARADRIIFORMES,0.486,5.399,-0.257,Resident.MidLat,0,0,1.32,1.327,1.32,0.004,0.006,-4.805,-2.23,0,1,0,0.054,20.5,4.5,precocial,NA,NA,NA
Claravis_pretiosa,COLUMBIFORMES,-0.1,4.123,-0.188,Resident.LowLat,0,0,1.631,1.646,1.631,0.017,0.013,0.269,1.399,1,1,1,0.185,14.25,11.5,altricial,Monogamous,Solitary,Aggregation
Climacteris_melanurus,PASSERIFORMES,-0.186,3.512,0.045,Resident.LowLat,0,0,1.354,1.427,1.354,0.011,0.007,-3.166,-1.757,0,1,1,0.049,NA,NA,altricial,NA,NA,NA
Climacteris_picumnus,PASSERIFORMES,0.02,3.412,0.303,Resident.MidLat,0,0.003,1.422,1.427,1.422,0.011,0.012,-0.925,1.353,0,1,1,0.06,15,15,altricial,Monogamous,Solitary,NA
Climacteris_rufus,PASSERIFORMES,0.025,3.506,0.26,Resident.LowLat,0,0,1.41,1.367,1.41,0.013,0.009,-2.156,-0.895,0,1,1,0.09,17,26,altricial,Monogamous,Solitary,NA
Clytorhynchus_pachycephaloides,PASSERIFORMES,0.049,3.726,0.167,Resident.LowLat,0,0,1.666,1.687,1.666,0.009,0.012,-1.45,1.274,0,1,1,0.023,NA,NA,altricial,NA,NA,NA
Coccothraustes_vespertinus,PASSERIFORMES,0.528,4.046,0.479,Resident.HighLat,0,13.183,1.187,1.391,1.187,0.055,0.019,17.841,-5.475,1,1,1,0.178,13,13.5,altricial,Monogamous,Facultative,Aggregation
